match_id,gender,season,date,event,match_type,venue,city,toss_winner,toss_decision,player_of_match,target_runs,winner,winner_wickets,winner_runs
1023581,male,2016/17,2016/12/20,Big Bash League,T20,Sydney Showground Stadium,,Sydney Sixers,field,MC Henriques,160,Sydney Sixers,9,
1023583,male,2016/17,2016/12/21,Big Bash League,T20,Adelaide Oval,,Adelaide Strikers,field,BB McCullum,207,Brisbane Heat,,10
1023585,male,2016/17,2016/12/22,Big Bash League,T20,Docklands Stadium,Melbourne,Sydney Thunder,field,AJ Finch,180,Melbourne Renegades,,49
1023587,male,2016/17,2016/12/23,Big Bash League,T20,Sydney Cricket Ground,,Sydney Sixers,field,DJM Short,201,Hobart Hurricanes,,60
1023589,male,2016/17,2016/12/23,Big Bash League,T20,Western Australia Cricket Association Ground,Perth,Adelaide Strikers,field,AJ Turner,198,Perth Scorchers,,48
1023591,male,2016/17,2016/12/26,Big Bash League,T20,Bellerive Oval,Hobart,Hobart Hurricanes,bat,RJ Quiney,189,Melbourne Stars,7,
1023593,male,2016/17,2016/12/27,Big Bash League,T20,Sydney Cricket Ground,,Perth Scorchers,bat,J Botha,131,Sydney Sixers,6,
1023595,male,2016/17,2016/12/28,Big Bash League,T20,Sydney Showground Stadium,,Brisbane Heat,field,CA Lynn,158,Brisbane Heat,3,
1023597,male,2016/17,2016/12/29,Big Bash League,T20,Docklands Stadium,Melbourne,Perth Scorchers,field,M Klinger,149,Perth Scorchers,4,
1023599,male,2016/17,2016/12/30,Big Bash League,T20,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Brisbane Heat,field,CA Lynn,174,Brisbane Heat,7,
1023601,male,2016/17,2016/12/31,Big Bash League,T20,Adelaide Oval,,Sydney Sixers,field,SA Abbott,153,Adelaide Strikers,,48
1023603,male,2016/17,2017/01/01,Big Bash League,T20,Melbourne Cricket Ground,,Melbourne Stars,field,GB Hogg,159,Melbourne Renegades,,7
1023605,male,2016/17,2017/01/01,Big Bash League,T20,Western Australia Cricket Association Ground,Perth,Sydney Thunder,field,MR Marsh,178,Perth Scorchers,,50
